Scenario,NR,CR,PR
15-0.7-40-0.1,282.9940703,259.5756373,198.5072546
15-0.7-40-0.3,792.5320625,715.782725,832.8133285
15-0.7-40-0.5,1828.867558,1803.344718,2440.501002
15-0.7-25-0.1,118.7013762,115.7835422,85.49776694
15-0.7-25-0.3,368.9153237,355.0857854,411.5239112
15-0.7-25-0.5,1248.657473,1065.862073,1724.31104
15-0.7-10-0.1,366.3783711,178.3369299,207.2893624
15-0.7-10-0.3,3428.801575,433.6111836,659.1632793
15-0.7-10-0.5,4053.372776,1365.566978,2118.105147
15-0.6-40-0.1,143.148535,87.93909546,72.57907928
15-0.6-40-0.3,392.0670567,286.8010418,334.8975643
15-0.6-40-0.5,1389.026405,988.0586501,1193.283916
15-0.6-25-0.1,68.23759781,61.90734552,40.81894356
15-0.6-25-0.3,176.2450339,184.9635676,165.3048878
15-0.6-25-0.5,638.5982958,753.0354122,754.9996199
15-0.6-10-0.1,118.3916511,66.70926383,71.70209128
15-0.6-10-0.3,261.6058954,181.2128107,253.1685988
15-0.6-10-0.5,714.6512484,778.2100811,929.7418007
15-0.5-40-0.1,75.23258985,44.51644842,31.87096511
15-0.5-40-0.3,188.5593846,140.0337223,133.8252781
15-0.5-40-0.5,662.5970496,556.8252614,542.4674969
15-0.5-25-0.1,28.37411425,28.40756121,23.32209671
15-0.5-25-0.3,82.20170249,79.36913845,66.86617668
15-0.5-25-0.5,318.8331594,271.2601475,271.4771279
15-0.5-10-0.1,61.57590988,70.44334419,34.95827761
15-0.5-10-0.3,155.259529,140.9470931,113.6430439
15-0.5-10-0.5,526.68748,446.4834814,378.315908
20-0.7-40-0.1,132.5494243,134.9928593,84.77708516
20-0.7-40-0.3,364.4727487,544.5740018,326.0460082
20-0.7-40-0.5,1237.807704,2739.979817,1048.110072
20-0.7-25-0.1,54.50515495,63.78358963,40.06468568
20-0.7-25-0.3,163.104011,183.6200621,140.62859
20-0.7-25-0.5,624.1111639,822.469924,562.9118233
20-0.7-10-0.1,41.6855548,46.93629118,32.0098129
20-0.7-10-0.3,98.57853592,218.6761832,89.2124542
20-0.7-10-0.5,800.8128073,1793.788506,379.6629487
20-0.6-40-0.1,72.38245736,48.98146317,47.23877656
20-0.6-40-0.3,278.2033842,196.6207441,169.0841142
20-0.6-40-0.5,2080.578484,777.0778993,568.4534111
20-0.6-25-0.1,33.00855669,24.02966313,20.70998862
20-0.6-25-0.3,87.68609471,78.28842027,71.20917686
20-0.6-25-0.5,703.4998667,418.2623802,267.8419022
20-0.6-10-0.1,38.07997192,27.02463673,20.71225275
20-0.6-10-0.3,288.566164,69.38180483,47.27637201
20-0.6-10-0.5,2874.819739,548.3060136,175.4704229
20-0.5-40-0.1,35.83945339,33.47405136,23.96353525
20-0.5-40-0.3,95.24070144,95.21187713,88.11773918
20-0.5-40-0.5,301.6997511,337.4059025,282.5357176
20-0.5-25-0.1,13.77380085,12.59813192,11.98947914
20-0.5-25-0.3,36.34912754,36.17697936,35.9853856
20-0.5-25-0.5,166.5298449,162.394207,128.3447145
20-0.5-10-0.1,16.75268164,19.52381149,15.97775008
20-0.5-10-0.3,39.1552056,27.82953382,29.37805937
20-0.5-10-0.5,71.49689611,121.0803927,91.85423688
25-0.7-40-0.1,44.26429164,31.2220379,21.57376873
25-0.7-40-0.3,76.23637699,103.6521872,81.73943006
25-0.7-40-0.5,350.1071508,421.6706931,308.5457274
25-0.7-25-0.1,15.51782449,16.46809727,14.61302519
25-0.7-25-0.3,40.83663094,38.65849133,32.13078744
25-0.7-25-0.5,186.1285604,189.9206534,134.8580986
25-0.7-10-0.1,43.67773232,37.72506606,20.0622301
25-0.7-10-0.3,68.52840687,70.5944159,38.4439996
25-0.7-10-0.5,157.5880347,207.0280803,116.2725997
25-0.6-40-0.1,31.74893039,17.34312251,15.34231311
25-0.6-40-0.3,62.59646791,58.78459075,49.88870835
25-0.6-40-0.5,239.7510008,395.1996157,157.7273392
25-0.6-25-0.1,10.34963296,9.809503763,10.52475084
25-0.6-25-0.3,24.31529497,22.73805513,19.19228035
25-0.6-25-0.5,89.8259562,122.7304349,72.54850768
25-0.6-10-0.1,32.39567767,24.26447093,16.51106543
25-0.6-10-0.3,49.63712546,38.90969803,30.03794721
25-0.6-10-0.5,84.874077,97.38247694,79.21709534
25-0.5-40-0.1,15.61972273,9.952155944,9.172492998
25-0.5-40-0.3,41.33726062,42.6644504,30.72855244
25-0.5-40-0.5,325.1977708,439.0107501,89.7947623
25-0.5-25-0.1,6.03752251,5.07170052,6.413434868
25-0.5-25-0.3,11.51660867,11.43493332,11.58326883
25-0.5-25-0.5,73.09219802,69.53517271,43.07385076
25-0.5-10-0.1,14.36156834,21.4029631,13.02196701
25-0.5-10-0.3,24.71078414,34.40823579,22.18742937
25-0.5-10-0.5,59.12326751,264.7601171,52.87036438
